"MB QR","ASIN","ORDER CODE","SKU USA","FNSKU USA","Nombre","SKU SPAIN","FNSKU SPAIN","SKU UK","FNSKU UK","MB Packing","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-15M1P-60MB","B00T89WQF6","BTPSCUSCU-0DDF-15M1P","TC-1KJX-TQW6","X000Q7AEA9","SC to SC Fiber Patch Cable Single Mode Duplex - 15m (49.2ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-15M1P","B00T89WQF6","BTPSCUSCU-0DDF-15M1P","X00113OMZ7","60","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-15M1P-60MB","B00T89Y7ZI","BTPSCUSTU-0DDF-15M1P","6E-WZUD-WRO4","X000Q7BQBP","SC to ST Fiber Patch Cable Single Mode Duplex - 15m (49.2ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-15M1P","B00T89Y7ZI","BTPSCUSTU-0DDF-15M1P","X00111ZDGB","60","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-15M1P-60MB","B00T8A04H2","BTPSTUSTU-0DDF-15M1P","6P-E439-JLHA","X000Q7AJVN","ST to ST Fiber Patch Cable Single Mode Duplex - 15m (49.2ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-15M1P","B00T8A04H2","BTPSTUSTU-0DDF-15M1P","X00110IHFV","60","","","","","","","","","","","","","",""
"BTPLCALCA-0DDF-15M1P-60MB","B01M3279IH","BTPLCALCA-0DDF-15M1P","BT-FOAPCPCDU-LCLC-49FT1P","X0018PR447","LC to LC Fiber Patch Cable Single Mode Duplex - 15m (49.2ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCALCA-0DDF-15M1P","X000WG43XF","BTPLCALCA-0DDF-15M1P","X000WRA559","60","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-15M1P-60MB","B01M5GBGU6","BTPSCASCA-0DDF-15M1P","BT-FOAPCPCDU-SCSC-49FT1P","X0018PHFZ5","SC to SC Fiber Patch Cable Single Mode Duplex - 15m (49.2ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-15M1P","B01M5GBGU6","BTPSCASCA-0DDF-15M1P","X00110IHL5","60","","","","","","","","","","","","","",""
"BTPSCAFCA-0DDF-15M1P-60MB","B01MCYM5DI","BTPSCAFCA-0DDF-15M1P","BT-FOAPCPCDU-SCFC-49FT1P","X0018ZOR2J","SC to FC Fiber Patch Cable Single Mode Duplex - 15m (49.2ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCAFCA-0DDF-15M1P","B01MCYM5DI","BTPSCAFCA-0DDF-15M1P","X00111ZDJD","60","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-20M1P-44MB","B00T8AAI3M","BTPLCULCU-0DDF-20M1P","NC-4WKC-LKRG","X000Q7AQMZ","LC to LC Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-20M1P","X000WRCCFF","BTPLCULCU-0DDF-20M1P","X000WUMXVF","44","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-20M1P-44MB","B00T8AG8UE","BTPLCUSCU-0DDF-20M1P","IX-XPPU-35M6","X000Q7AWVF","LC to SC Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-20M1P","B00T8AG8UE","BTPLCUSCU-0DDF-20M1P","X00113ON83","44","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-20M1P-44MB","B00T8ANXQQ","BTPLCUSTU-0DDF-20M1P","AN-8VX5-BYXZ","X000Q7B2NH","LC to ST Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-20M1P","B00T8ANXQQ","BTPLCUSTU-0DDF-20M1P","X00110IHGZ","44","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-20M1P-44MB","B00T8B4HJW","BTPSCUSCU-0DDF-20M1P","48-1KJN-XD2E","X000Q7BDIB","SC to SC Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-20M1P","B00T8B4HJW","BTPSCUSCU-0DDF-20M1P","X0011856CP","44","","","","","","","","","","","","","",""
