"MB QR","ASIN","ORDER CODE","SKU USA","FNSKU USA","Nombre","SKU SPAIN","FNSKU SPAIN","SKU UK","FNSKU UK","MB Packing","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-2M1P-150MB","B00T574UGO","BTPSCUSTU-0DDF-2M1P","92-77XT-M7VQ","X000Q5V4OB","SC to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-2M1P","B00T574UGO","BTPSCUSTU-0DDF-2M1P","X00110IHJ7","150","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-2M1P-150MB","B00T577K8E","BTPSTUSTU-0DDF-2M1P","04-T5RP-1RNH","X000Q5V7I9","ST to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-2M1P","B00T577K8E","BTPSTUSTU-0DDF-2M1P","X00115KITT","150","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-2M1P-150MB","B01M29K5ZN","BTPSCASCA-0DDF-2M1P","BT-FOAPCPCDU-SCSC-6FT1P","X0018PR44H","SC to SC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-2M1P","X000WRCF4X","BTPSCASCA-0DDF-2M1P","X000X7QN9Z","150","","","","","","","","","","","","","",""
"BTPLCALCA-0DDF-2M1P-150MB","B01M327A75","BTPLCALCA-0DDF-2M1P","BT-FOAPCPCDU-LCLC-6FT1P","X0018RSJZD","LC to LC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCALCA-0DDF-2M1P","X000WNKW47","BTPLCALCA-0DDF-2M1P","X000WRA1KN","150","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-3M1P-150MB","B01M327AON","BTPSCASCA-0DDF-3M1P","BT-FOAPCPCDU-SCSC-9FT1P","X0018ZMNYX","SC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-3M1P","B01M327AON","BTPSCASCA-0DDF-3M1P","X00115KISF","150","","","","","","","","","","","","","",""
"BTPSCAFCA-0DDF-2M1P-150MB","B01M5GBFWK","BTPSCAFCA-0DDF-2M1P","BT-FOAPCPCDU-SCFC-6FT1P","X0018Q3TIL","SC to FC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCAFCA-0DDF-2M1P","B01M5GBFWK","BTPSCAFCA-0DDF-2M1P","X00115KC81","150","","","","","","","","","","","","","",""
"BTPLCALCA-0DDF-1M1P-150MB","B01M5GBHA4","BTPLCALCA-0DDF-1M1P","BT-FOAPCPCDU-LCLC-3FT1P","X0018ZOO8L","LC to LC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCALCA-0DDF-1M1P","X000WNKW4R","BTPLCALCA-0DDF-1M1P","X000WWJ8YX","150","","","","","","","","","","","","","",""
"BTPSCAFCA-0DDF-1M1P-150MB","B01M7UN955","BTPSCAFCA-0DDF-1M1P","BT-FOAPCPCDU-SCFC-3FT1P","X0018RSJYT","SC to FC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCAFCA-0DDF-1M1P","B01M7UN955","BTPSCAFCA-0DDF-1M1P","X00111ZDNJ","150","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-1M1P-150MB","B01M8NA675","BTPSCASCA-0DDF-1M1P","BT-FOAPCPCDU-SCSC-3FT1P","X0018ZONRX","SC to SC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-1M1P","X000WUPC6D","BTPSCASCA-0DDF-1M1P","X000WNIQC7","150","","","","","","","","","","","","","",""
"BTPSCAFCA-0DDF-3M1P-150MB","B01M8NB2WT","BTPSCAFCA-0DDF-3M1P","BT-FOAPCPCDU-SCFC-9FT1P","X0018ZONRN","SC to FC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCAFCA-0DDF-3M1P","B01M8NB2WT","BTPSCAFCA-0DDF-3M1P","X00115KIX5","150","","","","","","","","","","","","","",""
"BTPLCALCA-0DDF-3M1P-150MB","B01MFCEPV2","BTPLCALCA-0DDF-3M1P","BT-FOAPCPCDU-LCLC-9FT1P","X0018ZOKUN","LC to LC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCALCA-0DDF-3M1P","X000WG4407","BTPLCALCA-0DDF-3M1P","X000WUMY69","150","","","","","","","","","","","","","",""
"BTPLCUFCU-0DDF-3M1P-150MB","B01MUDXOF5","BTPLCUFCU-0DDF-3M1P","BT-FOOS1PC-FCLC-9FT1P","X001D65QHN","LC to FC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPLCUFCU-0DC-3M1P","X000N3MZXR","150","","","","","","","","","","","","","",""
"BTPFCUFCU-0DDF-3M1P-150MB","B01NBY14CJ","BTPFCUFCU-0DDF-3M1P","BT-FOOS1PC-FCFC-9FT1P","X001D65QHX","FC to FC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPFCUFCU-0DC-3M1P","X000N4UVJV","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIB-3M1P-150MB","B087H29K4F","BTPSCASCA-0SIB-3M1P","BTPSCASCA-0SIB-3M1P","X002IEAC41","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 3m (9.84ft) - 9/125um OS1 / 2.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIB-1M1P-150MB","B087H2LHG8","BTPSCASCA-0SIB-1M1P","BTPSCASCA-0SIB-1M1P","X002IEAC55","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 1m (3.28ft) - 9/125um OS1 / 2.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIB-2M1P-150MB","B087H4GMWW","BTPSCASCA-0SIB-2M1P","BTPSCASCA-0SIB-2M1P","X002IDKL6V","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 2m (6.56ft) - 9/125um OS1 / 2.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIC-2M1P-150MB","B0886K9BZ5","BTPSCASCA-0SIC-2M1P","BTPSCASCA-0SIC-2M1P","X002IPNW15","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 2m (6.56ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPLCUSCA-0SIC-5M1P-150MB","B0886KQ3SJ","BTPLCUSCA-0SIC-5M1P","BTPLCUSCA-0SIC-5M1P","X002IPUP4H","LC/UPC to SC/APC Fiber Patch Cable Single Mode Simplex - 5m (16.4ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIC-5M1P-150MB","B0886L133C","BTPSCASCA-0SIC-5M1P","BTPSCASCA-0SIC-5M1P","X002IPUL5Z","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 5m (16.4ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIC-10M1P-150MB","B0886L32KR","BTPSCASCA-0SIC-10M1P","BTPSCASCA-0SIC-10M1P","X002IPNW0L","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 10m (32.8ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIC-3M1P-150MB","B0886LLMSM","BTPSCASCA-0SIC-3M1P","BTPSCASCA-0SIC-3M1P","X002IPUL6T","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 3m (9.84ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPSCASCA-0SIC-1M1P-150MB","B0886M28V5","BTPSCASCA-0SIC-1M1P","BTPSCASCA-0SIC-1M1P","X002IPL41P","SC/APC to SC/APC Fiber Patch Cable Single Mode Simplex - 1m (3.28ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPLCUSCA-0SIC-1M1P-150MB","B088748486","BTPLCUSCA-0SIC-1M1P","BTPLCUSCA-0SIC-1M1P","X002IPVD1V","LC/UPC to SC/APC Fiber Patch Cable Single Mode Simplex - 1m (3.28ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPLCUSCA-0SIC-3M1P-150MB","B08876ZC9K","BTPLCUSCA-0SIC-3M1P","BTPLCUSCA-0SIC-3M1P","X002IPUP4R","LC/UPC to SC/APC Fiber Patch Cable Single Mode Simplex - 3m (9.84ft) - 9/125um OS1 / 3.0mm LSZH (1 Pack) - Beyondtech PureOptics Cable Series","","","","","150","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-5M1P-120MB","B00T7ZGJY0","BTPLCULCU-0DDF-5M1P","LR-SUOK-VTRO","X000Q719UX","LC to LC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-5M1P","B00T7ZGJY0","BTPLCULCU-0DDF-5M1P","X00115KIWV","120","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-5M1P-120MB","B00T7ZLDVO","BTPLCUSCU-0DDF-5M1P","GK-6XLR-0J4P","X000Q71DZ9","LC to SC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-5M1P","X000WNKW5V","BTPLCUSCU-0DDF-5M1P","X000X7Q4ET","120","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-5M1P-120MB","B00T7ZNB8M","BTPLCUSTU-0DDF-5M1P","R3-P79J-AQCE","X000Q71FRZ","LC to ST Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-5M1P","X000WNKV0H","BTPLCUSTU-0DDF-5M1P","X000X7QE7B","120","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-5M1P-120MB","B00T7ZQXF0","BTPSCUSCU-0DDF-5M1P","7Z-6JPW-MINC","X000Q71KNT","SC to SC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-5M1P","B00T7ZQXF0","BTPSCUSCU-0DDF-5M1P","X00116QCDT","120","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-5M1P-120MB","B00T7ZYMTE","BTPSCUSTU-0DDF-5M1P","9G-KUYV-SNP3","X000Q71Q51","SC to ST Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-5M1P","B00T7ZYMTE","BTPSCUSTU-0DDF-5M1P","X00110ICWT","120","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-5M1P-120MB","B00T801UR0","BTPSTUSTU-0DDF-5M1P","96-9ENX-5TVY","X000Q71SJ5","ST to ST Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-5M1P","B00T801UR0","BTPSTUSTU-0DDF-5M1P","X00110IHPB","120","","","","","","","","","","","","","",""
"BTPLCALCA-0DDF-5M1P-120MB","B01M327AOR","BTPLCALCA-0DDF-5M1P","BT-FOAPCPCDU-LCLC-16FT1P","X0018ZMNZ7","LC to LC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCALCA-0DDF-5M1P","X000WNKUTJ","BTPLCALCA-0DDF-5M1P","X000X7Q4E9","120","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-5M1P-120MB","B01M7UN8TA","BTPSCASCA-0DDF-5M1P","BT-FOAPCPCDU-SCSC-16FT1P","X0018ZOKUD","SC to SC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-5M1P","B01M7UN8TA","BTPSCASCA-0DDF-5M1P","X00115KIVR","120","","","","","","","","","","","","","",""
"BTPSCAFCA-0DDF-5M1P-120MB","B01MDR8IB6","BTPSCAFCA-0DDF-5M1P","BT-FOAPCPCDU-SCFC-16FT1P","X0018PR44R","SC to FC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCAFCA-0DDF-5M1P","B01MDR8IB6","BTPSCAFCA-0DDF-5M1P","X001185DF5","120","","","","","","","","","","","","","",""
"BTPFCUFCU-0DDF-5M1P-120MB","B01N376CCE","BTPFCUFCU-0DDF-5M1P","BT-FOOS1PC-FCFC-16FT1P","X001DB2FWH","FC to FC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPFCUFCU-0DC-5M1P","X000N4IGNJ","120","","","","","","","","","","","","","",""
"BTPLCUFCU-0DDF-5M1P-120MB","B01N4R9NHI","BTPLCUFCU-0DDF-5M1P","BT-FOOS1PC-FCLC-16FT1P","X001DB3N9V","LC to FC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPLCUFCU-0DC-5M1P","X000N40NOT","120","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-8M1P-100MB","B01MYBHUH7","BTPLCULCU-0DDF-8M1P","BT-FOOS1PC-LCLC-26FT1P","X001DB2FCR","LC to LC Fiber Patch Cable Single Mode Duplex - 8m (26.24ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPLCULCU-0DC-5M1P","X000N4UN4T","100","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-8M1P-100MB","B01MYBII3Q","BTPSCUSCU-0DDF-8M1P","BT-FOOS1PC-SCSC-26FT1P","X001DB4D3B","SC to SC Fiber Patch Cable Single Mode Duplex - 8m (26.24ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPSCUSCU-0DC-5M1P","X000N4IHBF","100","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-8M1P-100MB","B01N376BWO","BTPSCUSTU-0DDF-8M1P","BT-FOOS1PC-SCST-26FT1P","X001D81P9T","SC to ST Fiber Patch Cable Single Mode Duplex - 8m (26.24ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPSCUSTU-0DC-5M1P","X000N3MZY1","100","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-8M1P-100MB","B01N9UZL0D","BTPLCUSCU-0DDF-8M1P","BT-FOOS1PC-LCSC-26FT1P","X001D4VB0L","LC to SC Fiber Patch Cable Single Mode Duplex - 8m (26.24ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPLCUSCU-0DC-5M1P","X000N4UN67","100","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-8M1P-100MB","B01NBY17X1","BTPSTUSTU-0DDF-8M1P","BT-FOOS1PC-STST-26FT1P","X001DB4D2R","ST to ST Fiber Patch Cable Single Mode Duplex - 8m (26.24ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPSTUSTU-0DC-5M1P","X000N8ABFV","100","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-8M1P-100MB","B06XWDNHXD","BTPLCUSTU-0DDF-8M1P","BT-FOOS1PC-LCST-26FT1P","X001D65QIR","LC to ST Fiber Patch Cable Single Mode Duplex - 8m (26.24ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-8M1P","B06XWDNHXD","BTPLCUSTU-0DDF-8M1P","X00116QCDJ","100","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-1M2P-100MB","B07GV221KT","BTPLCULCU-0DDF-1M2P","BTPLCULCU-0DDF-1M2P","X001VJLWT3","LC to LC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-1M2P","X000YATNW5","BTPLCULCU-0DDF-1M2P","X000Y0OZQJ","100","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-2M2P-100MB","B07GVMWN47","BTPSTUSTU-0DDF-2M2P","BTPSTUSTU-0DDF-2M2P","X001VK92IP","ST to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-2M2P","B07GVMWN47","BTPSTUSTU-0DDF-2M2P","X00113ON1F","100","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-3M2P-100MB","B07GVN17HJ","BTPSCUSCU-0DDF-3M2P","BTPSCUSCU-0DDF-3M2P","X001VK92P3","SC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-3M2P","B07GVN17HJ","BTPSCUSCU-0DDF-3M2P","X001185DOL","100","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-2M2P-100MB","B07GVN1H1D","BTPLCUSCU-0DDF-2M2P","BTPLCUSCU-0DDF-2M2P","X001VKGGPR","LC to SC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-2M2P","X000Y6WRWR","BTPLCUSCU-0DDF-2M2P","X000Y0OZRN","100","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-3M2P-100MB","B07GVNJ2YR","BTPLCUSTU-0DDF-3M2P","BTPLCUSTU-0DDF-3M2P","X001VKGGON","LC to ST Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-3M2P","B07GVNJ2YR","BTPLCUSTU-0DDF-3M2P","X0011856HF","100","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-2M2P-100MB","B07GVNQKF8","BTPLCULCU-0DDF-2M2P","BTPLCULCU-0DDF-2M2P","X001VKGSD7","LC to LC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-2M2P","X000YATJ0L","BTPLCULCU-0DDF-2M2P","X000Y1GFPR","100","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-3M2P-100MB","B07GVNRLXD","BTPSTUSTU-0DDF-3M2P","BTPSTUSTU-0DDF-3M2P","X001VKFF2H","ST to ST Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-3M2P","B07GVNRLXD","BTPSTUSTU-0DDF-3M2P","X00116QCKH","100","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-1M2P-100MB","B07GVNXHFN","BTPSCUSCU-0DDF-1M2P","BTPSCUSCU-0DDF-1M2P","X001VK92BR","SC to SC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-1M2P","B07GVNXHFN","BTPSCUSCU-0DDF-1M2P","X00110ID4B","100","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-2M2P-100MB","B07GVP1SDB","BTPSCUSTU-0DDF-2M2P","BTPSCUSTU-0DDF-2M2P","X001VK92GR","SC to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-2M2P","B07GVP1SDB","BTPSCUSTU-0DDF-2M2P","X00110IHH9","100","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-2M2P-100MB","B07GVP26M3","BTPSCUSCU-0DDF-2M2P","BTPSCUSCU-0DDF-2M2P","X001VKFFSB","SC to SC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-2M2P","B07GVP26M3","BTPSCUSCU-0DDF-2M2P","X001185DNH","100","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-1M2P-100MB","B07GVP3626","BTPSTUSTU-0DDF-1M2P","BTPSTUSTU-0DDF-1M2P","X001VKDGSH","ST to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-1M2P","B07GVP3626","BTPSTUSTU-0DDF-1M2P","X00111ZDJX","100","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-1M2P-100MB","B07GVP4DXY","BTPLCUSTU-0DDF-1M2P","BTPLCUSTU-0DDF-1M2P","X001VK92NP","LC to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-1M2P","B07GVP4DXY","BTPLCUSTU-0DDF-1M2P","X001185DLT","100","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-2M2P-100MB","B07GVP6WC6","BTPLCUSTU-0DDF-2M2P","BTPLCUSTU-0DDF-2M2P","X001VKFAG3","LC to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-2M2P","B07GVP6WC6","BTPLCUSTU-0DDF-2M2P","X00118565R","100","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-3M2P-100MB","B07GVPGQMD","BTPLCUSCU-0DDF-3M2P","BTPLCUSCU-0DDF-3M2P","X001VK91FT","LC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-3M2P","B07GVPGQMD","BTPLCUSCU-0DDF-3M2P","X00111ZDM5","100","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-1M2P-100MB","B07GVPLGJX","BTPSCUSTU-0DDF-1M2P","BTPSCUSTU-0DDF-1M2P","X001VKFAF9","SC to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-1M2P","B07GVPLGJX","BTPSCUSTU-0DDF-1M2P","X001185661","100","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-3M2P-100MB","B07GVQFMTD","BTPLCULCU-0DDF-3M2P","BTPLCULCU-0DDF-3M2P","X001VKFAHR","LC to LC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-3M2P","X000Y6X9ND","BTPLCULCU-0DDF-3M2P","X000Y1FZQ7","100","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-1M2P-100MB","B07GVQL28X","BTPLCUSCU-0DDF-1M2P","BTPLCUSCU-0DDF-1M2P","X001VKGGOX","LC to SC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-1M2P","X000Y6XMQH","BTPLCUSCU-0DDF-1M2P","X000Y0O4QP","100","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-3M2P-100MB","B07GVQX62Y","BTPSCUSTU-0DDF-3M2P","BTPSCUSTU-0DDF-3M2P","X001VKRILN","SC to ST Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-3M2P","B07GVQX62Y","BTPSCUSTU-0DDF-3M2P","X00116QCEX","100","","","","","","","","","","","","","",""
"","B01MR9A5Y8","BTPLCUSCU-0DDF-25M1P","BT-FOOS1PC-LCSC-82FT1P","X001DB3TGN","LC to SC Fiber Patch Cable Single Mode Duplex - 25m (82ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPLCUSCU-0DC-20M1P","X000N4IGP7","","","","","","","","","","","","","","",""
"","B01MSAP2EB","BTPLCULCU-0DDF-25M1P","BT-FOOS1PC-LCLC-82FT1P","X001DB3N9B","LC to LC Fiber Patch Cable Single Mode Duplex - 25m (82ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPLCULCU-0DC-20M1P","X000N40NOJ","","","","","","","","","","","","","","",""
"","B01MUDXODD","BTPSCUSCU-0DDF-25M1P","BT-FOOS1PC-SCSC-82FT1P","X001DB4Q9H","SC to SC Fiber Patch Cable Single Mode Duplex - 25m (82ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPSCUSCU-0DC-20M1P","X000N4G2PN","","","","","","","","","","","","","","",""
"","B01MZD2KNF","BTPSCUSTU-0DDF-25M1P","BT-FOOS1PC-SCST-82FT1P","X001D65QHD","SC to ST Fiber Patch Cable Single Mode Duplex - 25m (82ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPSCUSTU-0DC-20M1P","X000N8ABGF","","","","","","","","","","","","","","",""
"","B01N5SKNON","BTPSTUSTU-0DDF-25M1P","BT-FOOS1PC-STST-82FT1P","X001DB4D27","ST to ST Fiber Patch Cable Single Mode Duplex - 25m (82ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPSTUSTU-0DC-20M1P","X000N4UVJL","","","","","","","","","","","","","","",""
"","B01N7VH982","BTPLCUSTU-0DDF-25M1P","BT-FOOS1PC-LCST-82FT1P","X001DB3N9L","LC to ST Fiber Patch Cable Single Mode Duplex - 25m (82ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPLCUSTU-0DC-20M1P","X000N4IFWB","","","","","","","","","","","","","","",""
"","B07GVMYVW2","BTPLCUSCU-0DDF-5M2P","BTPLCUSCU-0DDF-5M2P","X001VKF1H1","LC to SC Fiber Patch Cable Single Mode Duplex - 5m (16.4ft) - 9/125um OS1 (2 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-5M2P","B07GVMYVW2","BTPLCUSCU-0DDF-5M2P","X00111ZDR5","","","","","","","","","","","","","","",""
